,1,2,3,4,5,6,7,8,9,Salary,Projection
299,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Brandin Cooks,Deonte Harris,Daniel Jones,Detroit,45000,116.05
46,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Jacksonville,45000,116.03
166,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Seattle,45500,115.89
47,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,Brandin Cooks,Jaylen Waddle,Deonte Harris,Tyrod Taylor,Washington,45200,115.87
48,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,44700,115.85000000000001
49,Jared Cook,Najee Harris,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,45100,115.77999999999999
167,Jared Cook,D'Andre Swift,Nick Chubb,Calvin Ridley,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,45300,115.64
50,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Detroit,44900,115.57000000000001
300,Tyler Higbee,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Brandin Cooks,Deonte Harris,Daniel Jones,Washington,44900,115.53
168,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Jacksonville,45100,115.22999999999999
169,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,44800,115.05
170,Jared Cook,Najee Harris,Chuba Hubbard,A.J. Brown,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,45200,114.98
301,Dallas Goedert,Jared Cook,Nick Chubb,Chuba Hubbard,Calvin Ridley,Brandin Cooks,Deonte Harris,Daniel Jones,Washington,44500,114.92
302,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Keenan Allen,Brandin Cooks,Deonte Harris,Daniel Jones,Washington,44700,114.89999999999999
171,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Detroit,45000,114.77
51,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Carson Wentz,Washington,44800,114.66000000000001
303,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jaylen Waddle,Zach Pascal,Daniel Jones,Washington,44600,114.45
304,Dallas Goedert,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Brandin Cooks,Deonte Harris,Tyrod Taylor,Washington,44400,114.13
52,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,Jaylen Waddle,Zach Pascal,Deonte Harris,Daniel Jones,Washington,44600,114.05
172,Jared Cook,D'Andre Swift,Chuba Hubbard,A.J. Brown,Brandin Cooks,Zach Pascal,Deonte Harris,Carson Wentz,Washington,44900,113.86
173,Jared Cook,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,44500,113.8
174,Jared Cook,D'Andre Swift,Chuba Hubbard,Calvin Ridley,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Detroit,44700,113.52
53,Jared Cook,D'Andre Swift,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Teddy Bridgewater,Washington,44500,113.48
305,Jared Cook,Evan Engram,D'Andre Swift,Chuba Hubbard,A.J. Brown,Brandin Cooks,Deonte Harris,Daniel Jones,Washington,44300,113.42
