,1,2,3,4,5,6,7,8,9,Salary,Projection
164,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Robert Woods,Tyler Lockett,Tee Higgins,Marquez Callaway,Tyrod Taylor,Miami,52100,104.05000000000001
252,Dallas Goedert,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Robert Woods,Tee Higgins,Marquez Callaway,Justin Fields,Detroit,51600,103.74000000000001
76,Mo Alie-Cox,Leonard Fournette,Chuba Hubbard,J.D. McKissic,Tyler Lockett,Tee Higgins,Marquez Callaway,Tyrod Taylor,New York Jets,52400,103.45
253,Dallas Goedert,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Robert Woods,Tee Higgins,Marquez Callaway,Tyrod Taylor,New York Jets,51300,102.72
254,Dallas Goedert,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Robert Woods,Tee Higgins,Marquez Callaway,Tyrod Taylor,Miami,51400,102.47
77,Mo Alie-Cox,Damien Harris,Chuba Hubbard,J.D. McKissic,Robert Woods,Tee Higgins,Marquez Callaway,Tyrod Taylor,New York Jets,52300,102.07
255,Hunter Henry,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Robert Woods,Tee Higgins,Marquez Callaway,Tyrod Taylor,Detroit,51100,101.07
78,Mo Alie-Cox,Alex Collins,Chuba Hubbard,J.D. McKissic,Tyler Lockett,Tee Higgins,Marquez Callaway,Tyrod Taylor,New York Jets,52200,100.53
165,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Emmanuel Sanders,Tyler Lockett,Tee Higgins,Marquez Callaway,Tyrod Taylor,New York Jets,51900,100.49000000000001
256,Hunter Henry,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Robert Woods,Tee Higgins,Marquez Callaway,Justin Fields,Detroit,51200,100.37
79,Mo Alie-Cox,Damien Harris,Chuba Hubbard,J.D. McKissic,Tyler Lockett,Tee Higgins,Marquez Callaway,Tyrod Taylor,New York Jets,52100,99.71000000000001
257,Hunter Henry,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Robert Woods,Tee Higgins,Marquez Callaway,Tyrod Taylor,New York Jets,50900,99.35
258,Hunter Henry,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Robert Woods,Tee Higgins,Marquez Callaway,Tyrod Taylor,Miami,51000,99.1
259,Hunter Henry,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Tyler Lockett,Tee Higgins,Marquez Callaway,Tyrod Taylor,New York Jets,50700,96.99000000000001
260,Hunter Henry,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Tyler Lockett,Tee Higgins,Marquez Callaway,Tyrod Taylor,Miami,50800,96.74000000000001
80,Mo Alie-Cox,D'Ernest Johnson,Chuba Hubbard,J.D. McKissic,Tyler Lockett,Tee Higgins,Marquez Callaway,Tyrod Taylor,New York Jets,51900,94.74000000000001
81,Mo Alie-Cox,D'Ernest Johnson,Chuba Hubbard,J.D. McKissic,Tyler Lockett,Tee Higgins,Marquez Callaway,Tyrod Taylor,Miami,52000,94.49000000000001
166,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Robert Woods,Tyler Lockett,Tee Higgins,Marquez Callaway,Taysom Hill,New York Jets,51800,92.20000000000002
167,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Emmanuel Sanders,Tyler Lockett,Tee Higgins,Marquez Callaway,Taysom Hill,New York Jets,51700,88.39000000000001
261,Hunter Henry,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Tyler Lockett,Tee Higgins,Marquez Callaway,Taysom Hill,New York Jets,50500,84.89000000000001
262,Hunter Henry,Mo Alie-Cox,Chuba Hubbard,J.D. McKissic,Tyler Lockett,Tee Higgins,Marquez Callaway,Taysom Hill,Miami,50600,84.64000000000001
82,Mo Alie-Cox,D'Ernest Johnson,Chuba Hubbard,J.D. McKissic,Tyler Lockett,Tee Higgins,Marquez Callaway,Taysom Hill,New York Jets,51700,82.64000000000001
83,Mo Alie-Cox,D'Ernest Johnson,Chuba Hubbard,J.D. McKissic,Tyler Lockett,Tee Higgins,Marquez Callaway,Taysom Hill,Miami,51800,82.39000000000001
