,0_flex,1,2,3,4,0_capt,Salary,Projection
157,Doug Martin,Seth Roberts,Pierre Garcon,Robbie Gould,Kyle Juszczyk,Jalen Richard,33900,60.949999999999996
198,Nick Mullens,Doug Martin,Pierre Garcon,Robbie Gould,Jalen Richard,Kyle Juszczyk,31800,60.70000000000001
175,Nick Mullens,Doug Martin,Robbie Gould,Jalen Richard,Kyle Juszczyk,Daniel Carlson,31300,60.25
210,Nick Mullens,Doug Martin,Daniel Carlson,Pierre Garcon,Kyle Juszczyk,Seth Roberts,31700,59.699999999999996
159,Nick Mullens,Doug Martin,DeAndre Washington,Pierre Garcon,Jalen Richard,Daniel Carlson,32100,59.25
185,Doug Martin,Daniel Carlson,Pierre Garcon,Robbie Gould,Kyle Juszczyk,Jalen Richard,31500,59.05
219,Doug Martin,Daniel Carlson,Pierre Garcon,Robbie Gould,Kyle Juszczyk,Nick Mullens,30000,58.9
218,Nick Mullens,Doug Martin,Seth Roberts,Pierre Garcon,Kyle Juszczyk,Daniel Carlson,30500,58.75
227,Nick Mullens,Pierre Garcon,Robbie Gould,Jalen Richard,Kyle Juszczyk,Daniel Carlson,29700,57.05
197,Nick Mullens,Doug Martin,Keith Smith,Robbie Gould,Kyle Juszczyk,Jalen Richard,30300,56.949999999999996
201,Nick Mullens,Doug Martin,Seth Roberts,Robbie Gould,Kyle Juszczyk,Daniel Carlson,29300,56.75
230,Nick Mullens,Doug Martin,Pierre Garcon,Robbie Gould,Kyle Juszczyk,Daniel Carlson,28300,56.25
215,Nick Mullens,Doug Martin,DeAndre Washington,Jalen Richard,Kyle Juszczyk,Daniel Carlson,28900,55.94999999999999
217,Nick Mullens,Doug Martin,Daniel Carlson,Pierre Garcon,Robbie Gould,Kyle Juszczyk,27400,55.300000000000004
239,Nick Mullens,Pierre Garcon,Jalen Richard,Kyle Juszczyk,Alfred Morris,Daniel Carlson,28500,54.64999999999999
255,Doug Martin,Daniel Carlson,DeAndre Washington,Pierre Garcon,Kyle Juszczyk,Nick Mullens,27600,54.599999999999994
238,Nick Mullens,Doug Martin,Pierre Garcon,Kyle Juszczyk,Alfred Morris,Daniel Carlson,27100,53.849999999999994
222,Doug Martin,Seth Roberts,Pierre Garcon,Robbie Gould,Kyle Juszczyk,Daniel Carlson,27300,52.849999999999994
214,Nick Mullens,Doug Martin,DeAndre Washington,Pierre Garcon,Kyle Juszczyk,Daniel Carlson,25900,51.94999999999999
244,Nick Mullens,Doug Martin,Daniel Carlson,DeAndre Washington,Pierre Garcon,Kyle Juszczyk,25000,51.00000000000001
261,Nick Mullens,DeAndre Washington,Robbie Gould,Jalen Richard,Kyle Juszczyk,Daniel Carlson,26100,50.75
260,Nick Mullens,Doug Martin,DeAndre Washington,Robbie Gould,Kyle Juszczyk,Daniel Carlson,24700,49.95
274,Nick Mullens,Doug Martin,Daniel Carlson,Keith Smith,Pierre Garcon,Kyle Juszczyk,24000,49.9
277,Nick Mullens,Doug Martin,Daniel Carlson,DeAndre Washington,Robbie Gould,Kyle Juszczyk,23800,49.00000000000001
286,Nick Mullens,Doug Martin,Keith Smith,Robbie Gould,Kyle Juszczyk,Daniel Carlson,23700,48.849999999999994
254,Nick Mullens,Pierre Garcon,Robbie Gould,Kyle Juszczyk,Alfred Morris,Daniel Carlson,24300,48.64999999999999
262,Doug Martin,Pierre Garcon,Robbie Gould,Kyle Juszczyk,Alfred Morris,Daniel Carlson,23900,47.95
265,Nick Mullens,Doug Martin,Daniel Carlson,Pierre Garcon,Kyle Juszczyk,Keith Smith,23300,47.85
276,Nick Mullens,DeAndre Washington,Pierre Garcon,Robbie Gould,Kyle Juszczyk,Daniel Carlson,23100,46.75
292,Doug Martin,DeAndre Washington,Pierre Garcon,Robbie Gould,Kyle Juszczyk,Daniel Carlson,22700,46.05
288,Nick Mullens,Doug Martin,Daniel Carlson,Robbie Gould,Kyle Juszczyk,Keith Smith,22100,45.85
317,Nick Mullens,Doug Martin,Daniel Carlson,Kyle Juszczyk,Alfred Morris,Keith Smith,20900,43.45
301,Nick Mullens,Doug Martin,Daniel Carlson,DeAndre Washington,Kyle Juszczyk,Keith Smith,19700,41.550000000000004
318,Nick Mullens,Doug Martin,DeAndre Washington,Robbie Gould,Kyle Juszczyk,Keith Smith,19900,40.95
311,Doug Martin,DeAndre Washington,Keith Smith,Pierre Garcon,Kyle Juszczyk,Daniel Carlson,19300,40.650000000000006
338,Doug Martin,Daniel Carlson,DeAndre Washington,Keith Smith,Pierre Garcon,Kyle Juszczyk,18400,39.7
323,Nick Mullens,DeAndre Washington,Keith Smith,Robbie Gould,Kyle Juszczyk,Daniel Carlson,18500,39.349999999999994
358,Doug Martin,DeAndre Washington,Keith Smith,Robbie Gould,Kyle Juszczyk,Daniel Carlson,18100,38.650000000000006
336,Doug Martin,Daniel Carlson,DeAndre Washington,Pierre Garcon,Kyle Juszczyk,Keith Smith,17700,37.65
337,Nick Mullens,Daniel Carlson,DeAndre Washington,Robbie Gould,Kyle Juszczyk,Keith Smith,16900,36.35
327,Doug Martin,Daniel Carlson,DeAndre Washington,Robbie Gould,Kyle Juszczyk,Keith Smith,16500,35.65
363,Daniel Carlson,Pierre Garcon,Robbie Gould,Kyle Juszczyk,Alfred Morris,Keith Smith,16100,34.35
359,Nick Mullens,Daniel Carlson,DeAndre Washington,Kyle Juszczyk,Alfred Morris,Keith Smith,15700,33.949999999999996
362,Doug Martin,Daniel Carlson,DeAndre Washington,Kyle Juszczyk,Alfred Morris,Keith Smith,15300,33.25
341,Daniel Carlson,DeAndre Washington,Pierre Garcon,Robbie Gould,Kyle Juszczyk,Keith Smith,14900,32.45
350,DeAndre Washington,Keith Smith,Robbie Gould,Kyle Juszczyk,Alfred Morris,Daniel Carlson,14100,31.05
379,Daniel Carlson,DeAndre Washington,Robbie Gould,Kyle Juszczyk,Alfred Morris,Keith Smith,12500,28.049999999999997
411,Daniel Carlson,Keith Smith,Dante Pettis,Kyle Juszczyk,Alfred Morris,DeAndre Washington,11600,24.6
416,DeAndre Washington,Keith Smith,Robbie Gould,Kyle Juszczyk,Alfred Morris,Dante Pettis,12300,24.150000000000002
