,1,2,3,4,5,6,7,8,9,Salary,Projection
135,Jared Cook,Phillip Lindsay,Jalen Richard,Doug Martin,Courtland Sutton,Brandon LaFell,Seth Roberts,Derek Carr,Oakland Raiders,43800,102.5
292,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Cooper Kupp,Seth Roberts,Nick Mullens,Oakland Raiders,44300,102.0
457,Jared Cook,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Cooper Kupp,Seth Roberts,Case Keenum,Oakland Raiders,44300,101.5
459,Jared Cook,Jeff Heuerman,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Seth Roberts,Case Keenum,Oakland Raiders,44100,101.30000000000001
458,Jared Cook,Gerald Everett,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Seth Roberts,Derek Carr,Oakland Raiders,44100,101.30000000000001
460,Jared Cook,Jeff Heuerman,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Jared Goff,Oakland Raiders,43900,101.3
293,Jared Cook,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,43800,101.20000000000002
294,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Brandon LaFell,Seth Roberts,Jared Goff,Oakland Raiders,44200,101.2
136,Matt LaCosse,Phillip Lindsay,James White,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Derek Carr,Oakland Raiders,43600,101.0
137,Matt LaCosse,Phillip Lindsay,Jalen Richard,Doug Martin,Courtland Sutton,Kenny Golladay,Seth Roberts,Derek Carr,Oakland Raiders,43700,100.80000000000001
461,Jared Cook,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Seth Roberts,Derek Carr,Oakland Raiders,43600,100.4
138,Jeff Heuerman,Phillip Lindsay,James White,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,43400,100.20000000000002
462,Jared Cook,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Seth Roberts,Robert Woods,Nick Mullens,Oakland Raiders,43800,100.1
139,Jeff Heuerman,Phillip Lindsay,Jalen Richard,Doug Martin,Courtland Sutton,Kenny Golladay,Seth Roberts,Nick Mullens,Oakland Raiders,43500,100.0
463,Jared Cook,Jeff Heuerman,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Seth Roberts,Nick Mullens,Oakland Raiders,43400,99.6
295,Jared Cook,Phillip Lindsay,Jalen Richard,Courtland Sutton,Kenny Golladay,Brandon LaFell,Seth Roberts,Nick Mullens,San Francisco 49ers,43900,99.50000000000001
140,Jared Cook,Phillip Lindsay,Jalen Richard,Doug Martin,Courtland Sutton,Brandon LaFell,Seth Roberts,Nick Mullens,Oakland Raiders,43200,99.4
296,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Cooper Kupp,Seth Roberts,Derek Carr,Oakland Raiders,44000,99.4
464,Jared Cook,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Seth Roberts,Jared Goff,Oakland Raiders,43500,99.0
297,Matt LaCosse,Phillip Lindsay,Jalen Richard,Courtland Sutton,Brandon LaFell,Cooper Kupp,Seth Roberts,Case Keenum,Oakland Raiders,44100,98.0
