,1,2,3,4,5,6,7,8,9,Salary,Projection
683,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Ryan Fitzpatrick,Washington Redskins,41900,74.0
684,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Ryan Fitzpatrick,Denver Broncos,41900,74.0
681,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Ryan Fitzpatrick,Washington Redskins,41900,74.0
199,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Isaiah Crowell,Tre'Quan Smith,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,42200,73.9
200,Nick Boyle,Duke Johnson Jr.,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Brock Osweiler,Buffalo Bills,42100,73.8
201,Nick Boyle,Duke Johnson Jr.,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Brock Osweiler,Buffalo Bills,42100,73.8
685,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Ryan Fitzpatrick,Buffalo Bills,41500,73.4
686,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Ryan Fitzpatrick,Buffalo Bills,41500,73.4
448,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Josh Doctson,Jermaine Kearse,Tim Patrick,Brock Osweiler,Buffalo Bills,41800,73.0
449,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Josh Doctson,Jermaine Kearse,Tim Patrick,Brock Osweiler,Buffalo Bills,41800,73.0
687,Darren Fells,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Josh Doctson,Jermaine Kearse,Tim Patrick,Ryan Fitzpatrick,Buffalo Bills,41600,72.9
450,Nick Boyle,Duke Johnson Jr.,Devontae Booker,Tre'Quan Smith,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41900,72.8
451,Nick Boyle,Duke Johnson Jr.,Devontae Booker,Tre'Quan Smith,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41900,72.8
202,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Isaiah Crowell,Josh Doctson,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,42000,72.5
