,1,2,3,4,5,6,7,8,9,Salary,Projection
254,Jeff Heuerman,Mike Davis,Elijah McGuire,Peyton Barber,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Lions,28100,67.7
521,Jeff Heuerman,Elijah McGuire,Peyton Barber,Laquon Treadwell,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Lions,28000,67.4
793,Antonio Gates,Jeff Heuerman,Elijah McGuire,Peyton Barber,Zay Jones,Tim Patrick,Andre Holmes,Nathan Peterman,Lions,27500,67.10000000000001
795,Antonio Gates,Jeff Heuerman,Elijah McGuire,Peyton Barber,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Lions,27400,66.7
794,Antonio Gates,Jeff Heuerman,Elijah McGuire,Peyton Barber,Laquon Treadwell,Tim Patrick,Andre Holmes,Nathan Peterman,Lions,27400,66.7
255,Jeff Heuerman,Mike Davis,Elijah McGuire,Frank Gore,Laquon Treadwell,Tim Patrick,Andre Holmes,Nathan Peterman,Lions,28000,66.39999999999999
256,Jeff Heuerman,Mike Davis,Elijah McGuire,Frank Gore,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Lions,28000,66.39999999999999
522,Jeff Heuerman,Elijah McGuire,Frank Gore,Laquon Treadwell,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Lions,27900,66.10000000000001
797,Antonio Gates,Jeff Heuerman,Elijah McGuire,Frank Gore,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Lions,27300,65.4
796,Antonio Gates,Jeff Heuerman,Elijah McGuire,Frank Gore,Laquon Treadwell,Tim Patrick,Andre Holmes,Nathan Peterman,Lions,27300,65.4
523,Jeff Heuerman,Mike Davis,Elijah McGuire,Laquon Treadwell,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Lions,27800,64.9
799,Nick Boyle,Jeff Heuerman,Elijah McGuire,Peyton Barber,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Lions,27200,64.4
798,Nick Boyle,Jeff Heuerman,Elijah McGuire,Peyton Barber,Laquon Treadwell,Tim Patrick,Andre Holmes,Nathan Peterman,Lions,27200,64.4
258,Nick Boyle,Mike Davis,Elijah McGuire,Frank Gore,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Lions,27900,64.39999999999999
257,Nick Boyle,Mike Davis,Elijah McGuire,Frank Gore,Laquon Treadwell,Tim Patrick,Andre Holmes,Nathan Peterman,Lions,27900,64.39999999999999
801,Nick Boyle,Jeff Heuerman,Elijah McGuire,Frank Gore,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Lions,27100,63.099999999999994
800,Nick Boyle,Jeff Heuerman,Elijah McGuire,Frank Gore,Laquon Treadwell,Tim Patrick,Andre Holmes,Nathan Peterman,Lions,27100,63.099999999999994
524,Nick Boyle,Mike Davis,Elijah McGuire,Laquon Treadwell,Tim Patrick,Maurice Harris,Andre Holmes,Nathan Peterman,Lions,27700,62.9
