Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
K,Jake Elliott (11426305),Jake Elliott,11426305,FLEX,3200,PHI@NYG 10/11/2018 08:20PM ET,PHI,6.6
K,Aldrick Rosas (11426306),Aldrick Rosas,11426306,FLEX,3000,PHI@NYG 10/11/2018 08:20PM ET,NYG,9
TE,Rhett Ellison (11426307),Rhett Ellison,11426307,FLEX,2800,PHI@NYG 10/11/2018 08:20PM ET,NYG,5.92
RB,Wayne Gallman Jr. (11426308),Wayne Gallman Jr.,11426308,FLEX,2600,PHI@NYG 10/11/2018 08:20PM ET,NYG,2.38
DST,Giants  (11426309),Giants ,11426309,FLEX,2600,PHI@NYG 10/11/2018 08:20PM ET,NYG,3.2
TE,Dallas Goedert (11426310),Dallas Goedert,11426310,FLEX,2400,PHI@NYG 10/11/2018 08:20PM ET,PHI,5.72
WR,Jordan Matthews (11426311),Jordan Matthews,11426311,FLEX,2200,PHI@NYG 10/11/2018 08:20PM ET,PHI,6.03
WR,Cody Latimer (11426351),Cody Latimer,11426351,CPT,1500,PHI@NYG 10/11/2018 08:20PM ET,NYG,2.87
WR,Russell Shepard (11426352),Russell Shepard,11426352,CPT,1200,PHI@NYG 10/11/2018 08:20PM ET,NYG,2.02
WR,Shelton Gibson (11426353),Shelton Gibson,11426353,CPT,1200,PHI@NYG 10/11/2018 08:20PM ET,PHI,1.16
WR,Cody Latimer (11426312),Cody Latimer,11426312,FLEX,1000,PHI@NYG 10/11/2018 08:20PM ET,NYG,2.87
WR,Kamar Aiken (11426354),Kamar Aiken,11426354,CPT,900,PHI@NYG 10/11/2018 08:20PM ET,PHI,2.82
WR,DeAndre Carter (11426355),DeAndre Carter,11426355,CPT,900,PHI@NYG 10/11/2018 08:20PM ET,PHI,0.5
RB,Josh Adams (11426356),Josh Adams,11426356,CPT,900,PHI@NYG 10/11/2018 08:20PM ET,PHI,0.97
WR,Russell Shepard (11426313),Russell Shepard,11426313,FLEX,800,PHI@NYG 10/11/2018 08:20PM ET,NYG,2.02
WR,Shelton Gibson (11426314),Shelton Gibson,11426314,FLEX,800,PHI@NYG 10/11/2018 08:20PM ET,PHI,1.16
WR,Kamar Aiken (11426315),Kamar Aiken,11426315,FLEX,600,PHI@NYG 10/11/2018 08:20PM ET,PHI,2.82
WR,DeAndre Carter (11426316),DeAndre Carter,11426316,FLEX,600,PHI@NYG 10/11/2018 08:20PM ET,PHI,0.5
RB,Josh Adams (11426317),Josh Adams,11426317,FLEX,600,PHI@NYG 10/11/2018 08:20PM ET,PHI,0.97
RB,Jonathan Stewart (11426357),Jonathan Stewart,11426357,CPT,300,PHI@NYG 10/11/2018 08:20PM ET,NYG,0.57
RB,Elijhaa Penny (11426358),Elijhaa Penny,11426358,CPT,300,PHI@NYG 10/11/2018 08:20PM ET,NYG,0
WR,Jawill Davis (11426359),Jawill Davis,11426359,CPT,300,PHI@NYG 10/11/2018 08:20PM ET,NYG,2.35
WR,Mike Wallace (11426360),Mike Wallace,11426360,CPT,300,PHI@NYG 10/11/2018 08:20PM ET,PHI,0
WR,Mack Hollins (11426361),Mack Hollins,11426361,CPT,300,PHI@NYG 10/11/2018 08:20PM ET,PHI,0
TE,Garrett Dickerson (11426362),Garrett Dickerson,11426362,CPT,300,PHI@NYG 10/11/2018 08:20PM ET,NYG,0
TE,Scott Simonson (11426363),Scott Simonson,11426363,CPT,300,PHI@NYG 10/11/2018 08:20PM ET,NYG,0.34
TE,Richard Rodgers (11426364),Richard Rodgers,11426364,CPT,300,PHI@NYG 10/11/2018 08:20PM ET,PHI,0
TE,Joshua Perkins (11426365),Joshua Perkins,11426365,CPT,300,PHI@NYG 10/11/2018 08:20PM ET,PHI,2.34
RB,Jonathan Stewart (11426318),Jonathan Stewart,11426318,FLEX,200,PHI@NYG 10/11/2018 08:20PM ET,NYG,0.57
RB,Elijhaa Penny (11426319),Elijhaa Penny,11426319,FLEX,200,PHI@NYG 10/11/2018 08:20PM ET,NYG,0
WR,Jawill Davis (11426320),Jawill Davis,11426320,FLEX,200,PHI@NYG 10/11/2018 08:20PM ET,NYG,2.35
WR,Mike Wallace (11426321),Mike Wallace,11426321,FLEX,200,PHI@NYG 10/11/2018 08:20PM ET,PHI,0
WR,Mack Hollins (11426322),Mack Hollins,11426322,FLEX,200,PHI@NYG 10/11/2018 08:20PM ET,PHI,0
TE,Garrett Dickerson (11426323),Garrett Dickerson,11426323,FLEX,200,PHI@NYG 10/11/2018 08:20PM ET,NYG,0
TE,Scott Simonson (11426324),Scott Simonson,11426324,FLEX,200,PHI@NYG 10/11/2018 08:20PM ET,NYG,0.34
TE,Richard Rodgers (11426325),Richard Rodgers,11426325,FLEX,200,PHI@NYG 10/11/2018 08:20PM ET,PHI,0
TE,Joshua Perkins (11426326),Joshua Perkins,11426326,FLEX,200,PHI@NYG 10/11/2018 08:20PM ET,PHI,2.34
