Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65568-52922,RB,Leonard,Leonard Fournette,Fournette,14.166666666666666,6,7000,CHI@TB,TB,CHI,,,,,,RB/FLEX
65568-53331,QB,Taylor,Taylor Heinicke,Heinicke,17.433333079020183,6,6900,WAS@GB,WAS,GB,,,,,,QB
65568-72731,RB,Josh,Josh Jacobs,Jacobs,13.524999618530273,4,6900,PHI@LV,LV,PHI,,,,,,RB/FLEX
65568-14190,WR,Julio,Julio Jones,Jones,8.449999809265137,4,6900,KC@TEN,TEN,KC,Q,Hamstring,,,,WR/FLEX
65568-25011,TE,Darren,Darren Waller,Waller,11.050000508626303,6,6800,PHI@LV,LV,PHI,,,,,,TE/FLEX
65568-90584,QB,Mac,Mac Jones,Jones,13.913333892822266,6,6800,NYJ@NE,NE,NYJ,,,,,,QB
65568-29685,WR,Robert,Robert Woods,Woods,11.59999974568685,6,6800,DET@LAR,LAR,DET,,,,,,WR/FLEX
65568-64576,RB,Damien,Damien Harris,Harris,9.40000025431315,6,6800,NYJ@NE,NE,NYJ,,,,,,RB/FLEX
65568-26483,QB,Geno,Geno Smith,Smith,10.399999618530273,2,6800,NO@SEA,SEA,NO,,,,,,QB
65568-57403,WR,Courtland,Courtland Sutton,Sutton,12.59999974568685,6,6700,DEN@CLE,DEN,CLE,,,,,,WR/FLEX
65568-55635,WR,Chris,Chris Godwin,Godwin,12.34999974568685,6,6700,CHI@TB,TB,CHI,,,,,,WR/FLEX
65568-41535,QB,Baker,Baker Mayfield,Mayfield,15.759999593098959,6,6700,DEN@CLE,CLE,DEN,O,Shoulder - labrum,,,,QB
65568-70324,QB,Carson,Carson Wentz,Wentz,17.03333282470703,6,6700,IND@SF,IND,SF,,,,,,QB
65568-38435,QB,Jared,Jared Goff,Goff,15.25,6,6700,DET@LAR,DET,LAR,,,,,,QB
65568-52897,RB,Darrel,Darrel Williams,Williams,8.716666539510092,6,6700,KC@TEN,KC,TEN,,,,,,RB/FLEX
65568-27050,WR,Tyler,Tyler Lockett,Lockett,12.333333333333334,6,6600,NO@SEA,SEA,NO,,,,,,WR/FLEX
65568-90933,RB,Antonio,Antonio Gibson,Gibson,12.266666412353516,6,6600,WAS@GB,WAS,GB,Q,Shin,,,,RB/FLEX
65568-64119,RB,Chris,Chris Carson,Carson,11.274999618530273,4,6500,NO@SEA,SEA,NO,IR,Neck,,,,RB/FLEX
65568-29501,WR,Brandin,Brandin Cooks,Cooks,12.433333079020182,6,6500,HOU@ARI,HOU,ARI,,,,,,WR/FLEX
65568-27477,WR,Sterling,Sterling Shepard,Shepard,12.25,4,6500,CAR@NYG,NYG,CAR,,,,,,WR/FLEX
65568-64401,RB,Saquon,Saquon Barkley,Barkley,11.5,5,6500,CAR@NYG,NYG,CAR,Q,Ankle,,,,RB/FLEX
65568-11460,TE,Rob,Rob Gronkowski,Gronkowski,16.8000005086263,3,6500,CHI@TB,TB,CHI,Q,Ribs,,,,TE/FLEX
65568-91591,QB,Justin,Justin Fields,Fields,7.746666590372722,6,6500,CHI@TB,CHI,TB,,,,,,QB
65568-40687,RB,James,James Conner,Conner,10.516666412353516,6,6500,HOU@ARI,ARI,HOU,,,,,,RB/FLEX
65568-40843,RB,Alex,Alex Collins,Collins,8.519999694824218,5,6500,NO@SEA,SEA,NO,Q,Hip,,,,RB/FLEX
65568-14377,QB,Tyrod,Tyrod Taylor,Taylor,20.06999969482422,2,6400,HOU@ARI,HOU,ARI,IR,Hamstring,,,,QB
65568-90406,QB,Zach,Zach Wilson,Wilson,11.576000213623047,5,6400,NYJ@NE,NYJ,NE,,,,,,QB
65568-89628,QB,Davis,Davis Mills,Mills,10.055999755859375,5,6400,HOU@ARI,HOU,ARI,,,,,,QB
65568-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,10.433333079020182,6,6400,IND@SF,IND,SF,,,,,,WR/FLEX
65568-14225,QB,Andy,Andy Dalton,Dalton,5.200000127156575,3,6300,CHI@TB,CHI,TB,,,,,,QB
65568-30635,RB,Mike,Mike Davis,Davis,9.640000152587891,5,6300,ATL@MIA,ATL,MIA,,,,,,RB/FLEX
65568-71706,TE,T.J.,T.J. Hockenson,Hockenson,10.183333079020182,6,6200,DET@LAR,DET,LAR,Q,Knee,,,,TE/FLEX
65568-83081,RB,Chase,Chase Edmonds,Edmonds,9.816666920979818,6,6200,HOU@ARI,ARI,HOU,Q,Shoulder,,,,RB/FLEX
65568-60858,WR,Christian,Christian Kirk,Kirk,11.316666920979818,6,6200,HOU@ARI,ARI,HOU,,,,,,WR/FLEX
65568-22027,QB,Nick,Nick Foles,Foles,12.464444478352865,9,6200,CHI@TB,CHI,TB,,,,,,QB
65568-22031,WR,T.Y.,T.Y. Hilton,Hilton,10,1,6200,IND@SF,IND,SF,Q,Quadriceps,,,,WR/FLEX
65568-30231,QB,Jacoby,Jacoby Brissett,Brissett,9.836666742960611,6,6200,ATL@MIA,MIA,ATL,Q,Hamstring,,,,QB
65568-69333,QB,Jacob,Jacob Eason,Eason,0,1,6200,NO@SEA,SEA,NO,,,,,,QB
65568-30761,QB,Nathan,Nathan Peterman,Peterman,0.20000000298023224,1,6100,PHI@LV,LV,PHI,,,,,,QB
65568-86080,TE,Kyle,Kyle Pitts,Pitts,9.759999847412109,5,6100,ATL@MIA,ATL,MIA,,,,,,TE/FLEX
65568-70051,QB,Tyler,Tyler Huntley,Huntley,1,1,6100,CIN@BAL,BAL,CIN,,,,,,QB
65568-31170,QB,Brandon,Brandon Allen,Allen,3.9800000190734863,1,6100,CIN@BAL,CIN,BAL,,,,,,QB
