,0,1,2,3,4,5,6,7,8
127.6,Case Keenum,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Golden Tate,Ricky Seals-Jones,Rob Gronkowski
127.6,Jimmy Garoppolo,Oakland Raiders,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Chris Hogan,Rob Gronkowski
127.6,Case Keenum,Los Angeles Rams,T.J. Yeldon,Alfred Morris,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Amari Cooper,Rob Gronkowski
127.5,Jared Goff,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Kenny Golladay,Rob Gronkowski
127.5,Matthew Stafford,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Demaryius Thomas,Austin Seferian-Jenkins,Rob Gronkowski
127.5,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Matt Breida,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Rob Gronkowski
127.4,Jimmy Garoppolo,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Ricky Seals-Jones,Rob Gronkowski
127.4,Matthew Stafford,Detroit Lions,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Kenny Golladay,Rob Gronkowski
127.4,Blake Bortles,Detroit Lions,T.J. Yeldon,Todd Gurley II,Matt Breida,Larry Fitzgerald,Pierre Garcon,Golden Tate,Rob Gronkowski
127.3,Matthew Stafford,Detroit Lions,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Chris Hogan,Kenny Golladay,Rob Gronkowski
127.3,Matthew Stafford,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Demaryius Thomas,Austin Seferian-Jenkins,Rob Gronkowski
127.3,Case Keenum,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,James White,Larry Fitzgerald,Pierre Garcon,Golden Tate,Rob Gronkowski
127.2,Case Keenum,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Matt Breida,Pierre Garcon,Robert Woods,Demaryius Thomas,Rob Gronkowski
127.2,Blake Bortles,New England Patriots,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Rob Gronkowski
127.1,Jimmy Garoppolo,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,George Kittle,Rob Gronkowski
127.1,Matthew Stafford,Los Angeles Rams,T.J. Yeldon,Alfred Morris,Todd Gurley II,Pierre Garcon,Demaryius Thomas,Kenny Golladay,Rob Gronkowski
127.1,Jimmy Garoppolo,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Cooper Kupp,Robert Woods,Kenny Golladay,Rob Gronkowski
127.0,Jimmy Garoppolo,Detroit Lions,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Golden Tate,George Kittle,Rob Gronkowski
127.0,Jimmy Garoppolo,Oakland Raiders,T.J. Yeldon,Todd Gurley II,Matt Breida,Pierre Garcon,Emmanuel Sanders,Demaryius Thomas,Rob Gronkowski
127.0,Jimmy Garoppolo,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Kenny Golladay,Rob Gronkowski
126.9,Jimmy Garoppolo,Detroit Lions,Royce Freeman,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Rob Gronkowski
126.9,Sam Bradford,Oakland Raiders,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Demaryius Thomas,Rob Gronkowski
126.9,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,George Kittle,Rob Gronkowski
126.8,Case Keenum,Denver Broncos,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Kenny Golladay,Amari Cooper,Rob Gronkowski
126.8,Matthew Stafford,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Theo Riddick,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Rob Gronkowski
126.8,Matthew Stafford,Detroit Lions,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Ricky Seals-Jones,Rob Gronkowski
126.7,Matthew Stafford,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,George Kittle,Rob Gronkowski
126.7,Blake Bortles,Detroit Lions,Royce Freeman,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Demaryius Thomas,Rob Gronkowski
126.7,Case Keenum,Detroit Lions,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Kenny Golladay,Amari Cooper,Rob Gronkowski
126.6,Case Keenum,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Marvin Jones Jr.,Emmanuel Sanders,Golden Tate,George Kittle
126.6,Blake Bortles,New England Patriots,Royce Freeman,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Golden Tate,Rob Gronkowski
126.6,Jimmy Garoppolo,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Kenny Golladay,George Kittle,Rob Gronkowski
126.5,Case Keenum,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Kenny Golladay,Amari Cooper,Rob Gronkowski
126.5,Jimmy Garoppolo,Jacksonville Jaguars,Royce Freeman,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Rob Gronkowski
126.5,Tom Brady,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Austin Seferian-Jenkins,Rob Gronkowski
126.4,Blake Bortles,San Francisco 49ers,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Demaryius Thomas,Rob Gronkowski
126.4,Case Keenum,Denver Broncos,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Golden Tate,George Kittle,Rob Gronkowski
126.4,Matthew Stafford,New England Patriots,T.J. Yeldon,Todd Gurley II,Matt Breida,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Rob Gronkowski
126.3,Jimmy Garoppolo,Detroit Lions,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Ricky Seals-Jones,Rob Gronkowski
126.3,Jimmy Garoppolo,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Matt Breida,Pierre Garcon,Cooper Kupp,Kenny Golladay,Rob Gronkowski
126.3,Case Keenum,Denver Broncos,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Kenny Golladay,Rob Gronkowski
