,0,1,2,3,4,5,6,7,8
117.9,Sam Bradford,Oakland Raiders,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Marvin Jones Jr.,Emmanuel Sanders,Amari Cooper,Jared Cook
117.9,Jared Goff,Jacksonville Jaguars,Todd Gurley II,Matt Breida,Pierre Garcon,Robert Woods,Kenny Golladay,George Kittle,Rob Gronkowski
117.8,Case Keenum,San Francisco 49ers,Royce Freeman,Todd Gurley II,Larry Fitzgerald,Chris Hogan,Demaryius Thomas,Jared Cook,Rob Gronkowski
117.8,Jared Goff,Los Angeles Rams,Todd Gurley II,Phillip Lindsay,Corey Grant,Emmanuel Sanders,Chris Hogan,Demaryius Thomas,Rob Gronkowski
117.8,Case Keenum,Jacksonville Jaguars,Royce Freeman,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Demaryius Thomas,George Kittle
117.7,Tom Brady,Los Angeles Rams,Royce Freeman,Todd Gurley II,Phillip Lindsay,Larry Fitzgerald,Golden Tate,Kenny Golladay,George Kittle
117.7,Case Keenum,Los Angeles Rams,T.J. Yeldon,Matt Breida,Larry Fitzgerald,Pierre Garcon,Kenny Golladay,Amari Cooper,Rob Gronkowski
117.7,Matthew Stafford,Jacksonville Jaguars,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Golden Tate,Kenny Golladay,Jared Cook,Rob Gronkowski
117.6,Blake Bortles,Oakland Raiders,Royce Freeman,Jalen Richard,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Amari Cooper,Rob Gronkowski
117.6,Tom Brady,Denver Broncos,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Jared Cook,Rob Gronkowski
117.6,Blake Bortles,Los Angeles Rams,Royce Freeman,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Kenny Golladay,Amari Cooper,Ricky Seals-Jones
117.5,Matthew Stafford,New England Patriots,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Emmanuel Sanders,Chris Hogan,Austin Seferian-Jenkins,Ricky Seals-Jones
117.5,Jimmy Garoppolo,Detroit Lions,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Tyler Higbee
117.5,Blake Bortles,New England Patriots,T.J. Yeldon,Marshawn Lynch,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Chris Hogan,George Kittle
117.4,Tom Brady,Arizona Cardinals,T.J. Yeldon,Jalen Richard,Todd Gurley II,Larry Fitzgerald,Emmanuel Sanders,Amari Cooper,Austin Seferian-Jenkins
117.4,Sam Bradford,San Francisco 49ers,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Kenny Golladay,Rob Gronkowski
117.4,Jared Goff,Jacksonville Jaguars,Todd Gurley II,Phillip Lindsay,Pierre Garcon,Emmanuel Sanders,Kenny Golladay,George Kittle,Rob Gronkowski
117.3,Case Keenum,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Phillip Lindsay,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Austin Seferian-Jenkins
117.3,Blake Bortles,Los Angeles Rams,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Golden Tate,Jared Cook
117.3,Jimmy Garoppolo,Oakland Raiders,Todd Gurley II,Phillip Lindsay,Marvin Jones Jr.,Emmanuel Sanders,Demaryius Thomas,Jared Cook,Rob Gronkowski
117.2,Sam Bradford,Oakland Raiders,Todd Gurley II,Matt Breida,Theo Riddick,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Rob Gronkowski
117.2,Case Keenum,Jacksonville Jaguars,Todd Gurley II,Phillip Lindsay,Emmanuel Sanders,Chris Hogan,Demaryius Thomas,Austin Seferian-Jenkins,Rob Gronkowski
117.2,Jimmy Garoppolo,Detroit Lions,Todd Gurley II,Matt Breida,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Golden Tate,Jared Cook
117.1,Jimmy Garoppolo,Detroit Lions,Marshawn Lynch,Todd Gurley II,Larry Fitzgerald,Brandin Cooks,Golden Tate,Demaryius Thomas,Jared Cook
117.1,Matthew Stafford,Los Angeles Rams,Royce Freeman,T.J. Yeldon,Larry Fitzgerald,Cooper Kupp,Golden Tate,Ricky Seals-Jones,Rob Gronkowski
117.1,Tom Brady,Los Angeles Rams,Royce Freeman,T.J. Yeldon,Phillip Lindsay,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Rob Gronkowski
117.0,Case Keenum,Denver Broncos,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Golden Tate,Austin Seferian-Jenkins
117.0,Case Keenum,Jacksonville Jaguars,Alfred Morris,Todd Gurley II,Phillip Lindsay,Pierre Garcon,Cooper Kupp,Kenny Golladay,Rob Gronkowski
117.0,Matthew Stafford,New England Patriots,Marshawn Lynch,Todd Gurley II,Pierre Garcon,Chris Hogan,Kenny Golladay,Ricky Seals-Jones,Rob Gronkowski
116.9,Tom Brady,Detroit Lions,Royce Freeman,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Demaryius Thomas,Tyler Higbee
116.9,Case Keenum,Detroit Lions,Marshawn Lynch,Todd Gurley II,Pierre Garcon,Cooper Kupp,Kenny Golladay,Ricky Seals-Jones,Rob Gronkowski
116.9,Case Keenum,Arizona Cardinals,T.J. Yeldon,James White,Larry Fitzgerald,Emmanuel Sanders,Chris Hogan,Demaryius Thomas,Rob Gronkowski
116.8,Tom Brady,New England Patriots,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Chris Hogan,George Kittle
116.8,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Matt Breida,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,George Kittle,Rob Gronkowski
116.8,Tom Brady,New England Patriots,Royce Freeman,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Jeff Heuerman
116.7,Matthew Stafford,Jacksonville Jaguars,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Marvin Jones Jr.,Emmanuel Sanders,Demaryius Thomas,Jared Cook
116.7,Blake Bortles,New England Patriots,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Emmanuel Sanders,Robert Woods,Austin Seferian-Jenkins,George Kittle
116.7,Jimmy Garoppolo,Jacksonville Jaguars,Todd Gurley II,Theo Riddick,James White,Larry Fitzgerald,Emmanuel Sanders,Golden Tate,George Kittle
116.6,Blake Bortles,Los Angeles Rams,Royce Freeman,Todd Gurley II,Marvin Jones Jr.,Emmanuel Sanders,Demaryius Thomas,George Kittle,Ricky Seals-Jones
116.6,Jimmy Garoppolo,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,Matt Breida,Larry Fitzgerald,Golden Tate,Amari Cooper,Tyler Higbee
116.6,Matthew Stafford,Detroit Lions,Todd Gurley II,Corey Grant,Larry Fitzgerald,Pierre Garcon,Golden Tate,Amari Cooper,George Kittle
116.5,Case Keenum,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Emmanuel Sanders,Chris Hogan,Jared Cook,George Kittle
116.5,Tom Brady,Jacksonville Jaguars,Marshawn Lynch,Todd Gurley II,Matt Breida,Larry Fitzgerald,Emmanuel Sanders,Chris Hogan,Austin Seferian-Jenkins
116.5,Jimmy Garoppolo,Arizona Cardinals,T.J. Yeldon,Theo Riddick,Larry Fitzgerald,Brandin Cooks,Golden Tate,Demaryius Thomas,Rob Gronkowski
116.4,Matthew Stafford,Los Angeles Rams,Royce Freeman,T.J. Yeldon,Larry Fitzgerald,Emmanuel Sanders,Robert Woods,Austin Seferian-Jenkins,Rob Gronkowski
116.4,Tom Brady,Detroit Lions,Royce Freeman,Todd Gurley II,Phillip Lindsay,Larry Fitzgerald,Cooper Kupp,Emmanuel Sanders,George Kittle
116.4,Jimmy Garoppolo,Arizona Cardinals,Todd Gurley II,Theo Riddick,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Demaryius Thomas,Ricky Seals-Jones
116.3,Blake Bortles,San Francisco 49ers,Royce Freeman,Todd Gurley II,Larry Fitzgerald,Cooper Kupp,Emmanuel Sanders,Golden Tate,Jared Cook
116.3,Tom Brady,New England Patriots,T.J. Yeldon,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Kenny Golladay,Austin Seferian-Jenkins,Ricky Seals-Jones
116.3,Tom Brady,Denver Broncos,T.J. Yeldon,Todd Gurley II,Matt Breida,Larry Fitzgerald,Pierre Garcon,Amari Cooper,Tyler Higbee
116.2,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Emmanuel Sanders,Robert Woods,Tyler Higbee
116.2,Blake Bortles,San Francisco 49ers,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Emmanuel Sanders,Amari Cooper,Jared Cook,Rob Gronkowski
116.2,Tom Brady,Arizona Cardinals,T.J. Yeldon,Jalen Richard,Larry Fitzgerald,Pierre Garcon,Golden Tate,Demaryius Thomas,Rob Gronkowski
116.1,Case Keenum,Los Angeles Rams,Royce Freeman,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Emmanuel Sanders,Robert Woods,Ricky Seals-Jones
116.1,Jimmy Garoppolo,Los Angeles Rams,T.J. Yeldon,Phillip Lindsay,Larry Fitzgerald,Pierre Garcon,Kenny Golladay,Amari Cooper,Rob Gronkowski
116.1,Matthew Stafford,Los Angeles Rams,T.J. Yeldon,Matt Breida,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Ricky Seals-Jones,Rob Gronkowski
116.0,Jared Goff,Jacksonville Jaguars,Marshawn Lynch,Todd Gurley II,Pierre Garcon,Cooper Kupp,Kenny Golladay,Austin Seferian-Jenkins,Rob Gronkowski
116.0,Case Keenum,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Corey Grant,Pierre Garcon,Emmanuel Sanders,Kenny Golladay,Austin Seferian-Jenkins
116.0,Matthew Stafford,Jacksonville Jaguars,Todd Gurley II,Matt Breida,Larry Fitzgerald,Emmanuel Sanders,Golden Tate,Amari Cooper,Tyler Higbee
115.9,Tom Brady,Denver Broncos,Todd Gurley II,Phillip Lindsay,Pierre Garcon,Chris Hogan,Kenny Golladay,Austin Seferian-Jenkins,Rob Gronkowski
115.9,Tom Brady,Los Angeles Rams,T.J. Yeldon,Alfred Morris,Pierre Garcon,Cooper Kupp,Chris Hogan,Kenny Golladay,Rob Gronkowski
115.9,Matthew Stafford,New England Patriots,T.J. Yeldon,Marshawn Lynch,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Golden Tate,Tyler Higbee
115.8,Case Keenum,Arizona Cardinals,Todd Gurley II,James White,Larry Fitzgerald,Emmanuel Sanders,Amari Cooper,Rob Gronkowski,Tyler Higbee
115.8,Case Keenum,Denver Broncos,T.J. Yeldon,Jalen Richard,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Chris Hogan,George Kittle
115.8,Tom Brady,Detroit Lions,Royce Freeman,James White,Larry Fitzgerald,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Rob Gronkowski
115.7,Case Keenum,San Francisco 49ers,Todd Gurley II,Corey Grant,Larry Fitzgerald,Emmanuel Sanders,Golden Tate,Amari Cooper,George Kittle
115.7,Blake Bortles,San Francisco 49ers,Todd Gurley II,Theo Riddick,Pierre Garcon,Emmanuel Sanders,Demaryius Thomas,Jared Cook,Rob Gronkowski
115.7,Case Keenum,San Francisco 49ers,T.J. Yeldon,Todd Gurley II,James White,Pierre Garcon,Demaryius Thomas,Kenny Golladay,Austin Seferian-Jenkins
115.6,Tom Brady,Denver Broncos,Todd Gurley II,Corey Grant,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Ricky Seals-Jones
115.6,Case Keenum,Denver Broncos,Marshawn Lynch,Todd Gurley II,Cooper Kupp,Robert Woods,Kenny Golladay,Austin Seferian-Jenkins,Rob Gronkowski
115.6,Blake Bortles,Arizona Cardinals,T.J. Yeldon,Marshawn Lynch,Todd Gurley II,Pierre Garcon,Kenny Golladay,Amari Cooper,Ricky Seals-Jones
115.5,Blake Bortles,Los Angeles Rams,Todd Gurley II,Matt Breida,Larry Fitzgerald,Golden Tate,Demaryius Thomas,Amari Cooper,Tyler Higbee
115.5,Blake Bortles,Arizona Cardinals,Royce Freeman,Todd Gurley II,Cooper Kupp,Robert Woods,Kenny Golladay,Austin Seferian-Jenkins,Rob Gronkowski
115.5,Matthew Stafford,Los Angeles Rams,Todd Gurley II,Matt Breida,Theo Riddick,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Jared Cook
115.4,Sam Bradford,Oakland Raiders,T.J. Yeldon,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Golden Tate,Kenny Golladay,Austin Seferian-Jenkins
115.4,Jimmy Garoppolo,Jacksonville Jaguars,Todd Gurley II,James White,Larry Fitzgerald,Golden Tate,Amari Cooper,George Kittle,Ricky Seals-Jones
115.4,Case Keenum,San Francisco 49ers,Todd Gurley II,Corey Grant,Larry Fitzgerald,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,George Kittle
115.3,Tom Brady,Arizona Cardinals,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Golden Tate,Jared Cook
115.3,Matthew Stafford,Los Angeles Rams,T.J. Yeldon,Matt Breida,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Austin Seferian-Jenkins,Rob Gronkowski
115.3,Blake Bortles,San Francisco 49ers,Royce Freeman,T.J. Yeldon,Marshawn Lynch,Larry Fitzgerald,Golden Tate,Demaryius Thomas,Rob Gronkowski
115.2,Matthew Stafford,Jacksonville Jaguars,T.J. Yeldon,Jalen Richard,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Robert Woods,Rob Gronkowski
115.2,Jared Goff,Jacksonville Jaguars,T.J. Yeldon,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Jeff Heuerman
115.2,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Matt Breida,Pierre Garcon,Emmanuel Sanders,Amari Cooper,George Kittle,Rob Gronkowski
115.1,Tom Brady,Los Angeles Rams,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Chris Hogan,Demaryius Thomas,Jeff Heuerman
115.1,Case Keenum,Jacksonville Jaguars,Royce Freeman,Todd Gurley II,Phillip Lindsay,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Ricky Seals-Jones
115.1,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Marshawn Lynch,Larry Fitzgerald,Marvin Jones Jr.,Emmanuel Sanders,Austin Seferian-Jenkins,Rob Gronkowski
115.0,Tom Brady,New England Patriots,Royce Freeman,Todd Gurley II,Larry Fitzgerald,Cooper Kupp,Emmanuel Sanders,Golden Tate,Tyler Higbee
115.0,Jimmy Garoppolo,Detroit Lions,Royce Freeman,Todd Gurley II,Phillip Lindsay,Larry Fitzgerald,Golden Tate,Kenny Golladay,George Kittle
115.0,Matthew Stafford,Jacksonville Jaguars,Royce Freeman,Todd Gurley II,Larry Fitzgerald,Emmanuel Sanders,Golden Tate,Austin Seferian-Jenkins,Jared Cook
114.9,Case Keenum,Jacksonville Jaguars,Alfred Morris,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Amari Cooper,Jeff Heuerman,Rob Gronkowski
114.9,Tom Brady,Denver Broncos,Royce Freeman,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Tyler Higbee
114.9,Case Keenum,Jacksonville Jaguars,T.J. Yeldon,Todd Gurley II,James White,Larry Fitzgerald,Pierre Garcon,Demaryius Thomas,Jeff Heuerman
114.8,Tom Brady,Denver Broncos,Todd Gurley II,James White,Larry Fitzgerald,Marvin Jones Jr.,Emmanuel Sanders,Amari Cooper,Tyler Higbee
114.8,Matthew Stafford,Jacksonville Jaguars,Todd Gurley II,Theo Riddick,James White,Larry Fitzgerald,Pierre Garcon,Demaryius Thomas,Ricky Seals-Jones
114.8,Case Keenum,San Francisco 49ers,Royce Freeman,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Amari Cooper,Jeff Heuerman,Rob Gronkowski
114.7,Case Keenum,Los Angeles Rams,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Golden Tate,Jeff Heuerman
114.7,Tom Brady,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Kenny Golladay,Ricky Seals-Jones,Tyler Higbee
114.7,Blake Bortles,Arizona Cardinals,Royce Freeman,Alfred Morris,Todd Gurley II,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,George Kittle
114.6,Matthew Stafford,New England Patriots,Jalen Richard,Todd Gurley II,Pierre Garcon,Demaryius Thomas,Kenny Golladay,Austin Seferian-Jenkins,Rob Gronkowski
114.6,Jimmy Garoppolo,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Theo Riddick,Emmanuel Sanders,Chris Hogan,Demaryius Thomas,Tyler Higbee
114.6,Tom Brady,Arizona Cardinals,Todd Gurley II,Matt Breida,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Jeff Heuerman
114.5,Blake Bortles,Detroit Lions,Marshawn Lynch,Todd Gurley II,Matt Breida,Larry Fitzgerald,Emmanuel Sanders,Chris Hogan,Austin Seferian-Jenkins
114.5,Case Keenum,Arizona Cardinals,Todd Gurley II,Matt Breida,Larry Fitzgerald,Pierre Garcon,Kenny Golladay,Rob Gronkowski,Tyler Higbee
114.5,Blake Bortles,Los Angeles Rams,Todd Gurley II,Corey Grant,Larry Fitzgerald,Pierre Garcon,Golden Tate,Amari Cooper,Jared Cook
114.4,Jimmy Garoppolo,Arizona Cardinals,T.J. Yeldon,Matt Breida,Larry Fitzgerald,Pierre Garcon,Amari Cooper,George Kittle,Rob Gronkowski
114.4,Tom Brady,Los Angeles Rams,T.J. Yeldon,Jalen Richard,James White,Larry Fitzgerald,Pierre Garcon,Amari Cooper,Rob Gronkowski
114.4,Matthew Stafford,New England Patriots,Todd Gurley II,James White,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Kenny Golladay,Austin Seferian-Jenkins
114.3,Case Keenum,Los Angeles Rams,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Marvin Jones Jr.,Emmanuel Sanders,Demaryius Thomas,Tyler Higbee
114.3,Blake Bortles,Detroit Lions,Royce Freeman,Todd Gurley II,Phillip Lindsay,Pierre Garcon,Emmanuel Sanders,Demaryius Thomas,George Kittle
114.3,Blake Bortles,Arizona Cardinals,T.J. Yeldon,Todd Gurley II,Pierre Garcon,Robert Woods,Demaryius Thomas,Jared Cook,George Kittle
114.2,Jimmy Garoppolo,Los Angeles Rams,Jalen Richard,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Kenny Golladay,Ricky Seals-Jones
114.2,Jimmy Garoppolo,Los Angeles Rams,Royce Freeman,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Chris Hogan,Demaryius Thomas,Jared Cook
114.2,Tom Brady,Jacksonville Jaguars,Royce Freeman,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Austin Seferian-Jenkins,Jared Cook
114.1,Sam Bradford,Oakland Raiders,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Emmanuel Sanders,Robert Woods,Jared Cook,Rob Gronkowski
114.1,Case Keenum,Detroit Lions,Marshawn Lynch,Todd Gurley II,Matt Breida,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,Austin Seferian-Jenkins
114.1,Case Keenum,Denver Broncos,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Marvin Jones Jr.,Emmanuel Sanders,Demaryius Thomas,Jeff Heuerman
114.0,Jared Goff,Los Angeles Rams,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Chris Hogan,Tyler Higbee
114.0,Case Keenum,Detroit Lions,Jalen Richard,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Kenny Golladay,Jared Cook,Rob Gronkowski
114.0,Sam Bradford,Oakland Raiders,T.J. Yeldon,Todd Gurley II,Corey Grant,Larry Fitzgerald,Golden Tate,Demaryius Thomas,Austin Seferian-Jenkins
113.9,Jimmy Garoppolo,Los Angeles Rams,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Golden Tate,Amari Cooper,Jared Cook,George Kittle
113.9,Case Keenum,Los Angeles Rams,T.J. Yeldon,Jalen Richard,Larry Fitzgerald,Pierre Garcon,Kenny Golladay,Amari Cooper,Rob Gronkowski
113.9,Tom Brady,Denver Broncos,Royce Freeman,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Emmanuel Sanders,Robert Woods,Jared Cook
113.8,Blake Bortles,Detroit Lions,Royce Freeman,Todd Gurley II,James White,Marvin Jones Jr.,Emmanuel Sanders,Demaryius Thomas,Jared Cook
113.8,Blake Bortles,Detroit Lions,Royce Freeman,Todd Gurley II,Larry Fitzgerald,Golden Tate,Demaryius Thomas,Jared Cook,George Kittle
113.8,Jimmy Garoppolo,Detroit Lions,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Pierre Garcon,Chris Hogan,Demaryius Thomas,Jared Cook
113.7,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Todd Gurley II,Theo Riddick,Pierre Garcon,Emmanuel Sanders,Amari Cooper,Jeff Heuerman
113.7,Case Keenum,Detroit Lions,Marshawn Lynch,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Demaryius Thomas,Austin Seferian-Jenkins,George Kittle
113.7,Jimmy Garoppolo,Oakland Raiders,Marshawn Lynch,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Demaryius Thomas,Jeff Heuerman
113.6,Case Keenum,Detroit Lions,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Golden Tate,Demaryius Thomas,Jared Cook,George Kittle
113.6,Jimmy Garoppolo,Jacksonville Jaguars,T.J. Yeldon,Alfred Morris,Todd Gurley II,Pierre Garcon,Robert Woods,Demaryius Thomas,Jeff Heuerman
113.6,Matthew Stafford,Los Angeles Rams,Alfred Morris,Todd Gurley II,Pierre Garcon,Emmanuel Sanders,Kenny Golladay,Amari Cooper,Tyler Higbee
113.5,Jimmy Garoppolo,Oakland Raiders,Royce Freeman,Todd Gurley II,James White,Larry Fitzgerald,Golden Tate,Kenny Golladay,Jared Cook
113.5,Jimmy Garoppolo,Jacksonville Jaguars,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Pierre Garcon,Golden Tate,Austin Seferian-Jenkins,George Kittle
113.5,Matthew Stafford,Detroit Lions,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Marvin Jones Jr.,Emmanuel Sanders,Demaryius Thomas,Jeff Heuerman
113.4,Tom Brady,Arizona Cardinals,T.J. Yeldon,James White,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Jared Cook,Rob Gronkowski
113.4,Blake Bortles,Los Angeles Rams,Marshawn Lynch,Todd Gurley II,Phillip Lindsay,Larry Fitzgerald,Pierre Garcon,Demaryius Thomas,Jared Cook
113.4,Tom Brady,New England Patriots,T.J. Yeldon,Corey Grant,Pierre Garcon,Marvin Jones Jr.,Emmanuel Sanders,Chris Hogan,Rob Gronkowski
113.3,Case Keenum,Detroit Lions,Royce Freeman,T.J. Yeldon,Larry Fitzgerald,Pierre Garcon,Chris Hogan,George Kittle,Rob Gronkowski
113.3,Sam Bradford,Oakland Raiders,Royce Freeman,T.J. Yeldon,Alfred Morris,Larry Fitzgerald,Pierre Garcon,Golden Tate,Rob Gronkowski
113.3,Blake Bortles,Arizona Cardinals,Royce Freeman,Alfred Morris,Larry Fitzgerald,Brandin Cooks,Golden Tate,Demaryius Thomas,Rob Gronkowski
113.2,Matthew Stafford,Jacksonville Jaguars,T.J. Yeldon,Theo Riddick,Larry Fitzgerald,Emmanuel Sanders,Demaryius Thomas,Austin Seferian-Jenkins,Rob Gronkowski
113.2,Tom Brady,Detroit Lions,T.J. Yeldon,Jalen Richard,James White,Marvin Jones Jr.,Emmanuel Sanders,Demaryius Thomas,Rob Gronkowski
113.2,Blake Bortles,San Francisco 49ers,Royce Freeman,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Golden Tate,Demaryius Thomas,Tyler Higbee
113.1,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Jalen Richard,Todd Gurley II,Larry Fitzgerald,Emmanuel Sanders,Robert Woods,Tyler Higbee
113.1,Jared Goff,Los Angeles Rams,T.J. Yeldon,Matt Breida,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Robert Woods,George Kittle
113.1,Jared Goff,Jacksonville Jaguars,Todd Gurley II,Phillip Lindsay,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,George Kittle,Ricky Seals-Jones
113.0,Case Keenum,Los Angeles Rams,Royce Freeman,T.J. Yeldon,Marshawn Lynch,Larry Fitzgerald,Emmanuel Sanders,Golden Tate,George Kittle
113.0,Matthew Stafford,Los Angeles Rams,Alfred Morris,Todd Gurley II,Larry Fitzgerald,Emmanuel Sanders,Demaryius Thomas,Ricky Seals-Jones,Tyler Higbee
113.0,Blake Bortles,New England Patriots,Todd Gurley II,Matt Breida,Larry Fitzgerald,Emmanuel Sanders,Robert Woods,Golden Tate,Jeff Heuerman
112.9,Tom Brady,Los Angeles Rams,Jalen Richard,Todd Gurley II,Theo Riddick,Larry Fitzgerald,Emmanuel Sanders,Chris Hogan,Austin Seferian-Jenkins
112.9,Matthew Stafford,New England Patriots,T.J. Yeldon,Marshawn Lynch,Larry Fitzgerald,Emmanuel Sanders,Demaryius Thomas,Jared Cook,Rob Gronkowski
112.9,Case Keenum,Los Angeles Rams,T.J. Yeldon,James White,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Emmanuel Sanders,George Kittle
112.8,Jimmy Garoppolo,Detroit Lions,Royce Freeman,Jalen Richard,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Amari Cooper,Ricky Seals-Jones
112.8,Jared Goff,Los Angeles Rams,T.J. Yeldon,Theo Riddick,Larry Fitzgerald,Golden Tate,Amari Cooper,Austin Seferian-Jenkins,Rob Gronkowski
112.8,Blake Bortles,Los Angeles Rams,T.J. Yeldon,Alfred Morris,Larry Fitzgerald,Pierre Garcon,Emmanuel Sanders,Golden Tate,Austin Seferian-Jenkins
112.7,Matthew Stafford,Los Angeles Rams,T.J. Yeldon,James White,Larry Fitzgerald,Pierre Garcon,Golden Tate,Kenny Golladay,Ricky Seals-Jones
112.7,Jared Goff,Jacksonville Jaguars,Marshawn Lynch,Todd Gurley II,Larry Fitzgerald,Cooper Kupp,Emmanuel Sanders,Austin Seferian-Jenkins,Ricky Seals-Jones
112.7,Jimmy Garoppolo,Oakland Raiders,Marshawn Lynch,Todd Gurley II,Matt Breida,Pierre Garcon,Chris Hogan,Kenny Golladay,George Kittle
112.6,Jimmy Garoppolo,Jacksonville Jaguars,Todd Gurley II,Phillip Lindsay,Theo Riddick,Larry Fitzgerald,Emmanuel Sanders,Robert Woods,Ricky Seals-Jones
112.6,Matthew Stafford,New England Patriots,Royce Freeman,T.J. Yeldon,Larry Fitzgerald,Pierre Garcon,Demaryius Thomas,Jared Cook,Rob Gronkowski
112.6,Blake Bortles,Oakland Raiders,Jalen Richard,Todd Gurley II,Larry Fitzgerald,Pierre Garcon,Cooper Kupp,Golden Tate,Austin Seferian-Jenkins
