Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
21514-14905,WR,Kamar,Kamar Aiken,Aiken,2.333333333,6,6000,JAC@IND,IND,JAC,,
21514-45631,RB,Jamaal,Jamaal Williams,Williams,1,5,6000,NO@GB,GB,NO,,
21514-28226,WR,Aaron,Aaron Burbridge,Burbridge,1.287500024,8,6000,DAL@SF,SF,DAL,IR,Hamstring
21514-39492,WR,Josh,Josh Hill,Hill,2.599999905,2,6000,NO@GB,NO,GB,,
21514-12872,RB,James,James Develin,Develin,1.166666667,3,6000,ATL@NE,NE,ATL,,
21514-32331,RB,Tra,Tra Carson,Carson,0,0,6000,CIN@PIT,CIN,PIT,IR,Undisclosed
21514-31308,WR,Quan,Quan Bray,Bray,4.5E-01,6,6000,JAC@IND,IND,JAC,,
21514-54863,WR,C.J.,C.J. Goodwin,Goodwin,0,0,6000,ATL@NE,ATL,NE,,
21514-18009,WR,Chris,Chris Manhertz,Manhertz,1.5,1,6000,CAR@CHI,CAR,CHI,Q,Shoulder
21514-31329,WR,Russell,Russell Shepard,Shepard,3.316666603,6,6000,CAR@CHI,CAR,CHI,,
21514-7784,WR,Darrius,Darrius Heyward-Bey,Heyward-Bey,3.E-01,1,6000,CIN@PIT,PIT,CIN,,
21514-64104,RB,Terrell,Terrell Watson,Watson,2.E-01,4,6000,CIN@PIT,PIT,CIN,,
21514-29290,WR,Bryce,Bryce Treggs,Treggs,3.150000095,2,6000,TEN@CLE,CLE,TEN,,
21514-22123,WR,James,James Hanna,Hanna,4.650000095,2,6000,DAL@SF,DAL,SF,,
21514-6778,WR,Anthony,Anthony Fasano,Fasano,0,1,6000,NYJ@MIA,MIA,NYJ,,
21514-38523,WR,Geoff,Geoff Swaim,Swaim,1.649999936,6,6000,DAL@SF,DAL,SF,,
21514-29314,WR,Richard,Richard Rodgers,Rodgers,2.650000095,2,6000,NO@GB,GB,NO,,
21514-55940,WR,Chad,Chad Hansen,Hansen,0,0,6000,NYJ@MIA,NYJ,MIA,,
21514-27273,RB,Andy,Andy Janovich,Janovich,1.E-01,2,6000,DEN@LAC,DEN,LAC,,
21514-33418,WR,Alan,Alan Cross,Cross,1.049999952,2,6000,TB@BUF,TB,BUF,,
21514-40586,WR,Fred,Fred Ross Jr.,Ross Jr.,0,0,6000,CAR@CHI,CAR,CHI,IR,Ankle
21514-28311,WR,MarQueis,MarQueis Gray,Gray,0,1,6000,NYJ@MIA,MIA,NYJ,,
21514-23194,WR,Josh,Josh Gordon,Gordon,0,0,6000,TEN@CLE,CLE,TEN,O,Suspension
